Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF],,
8007167,Bosnien-Herzegowina,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,30000,,
8007781,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,11000,,
8007466,Bosnien-Herzegowina,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,2B.4,727.65,,
8007706,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.G2,776,,
8007218,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55,,
8007128,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,43200,,
8008144,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4264,,
8007016,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,530000,,
8007020,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,617500,,
8007067,Brasilien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",206620,,
8007748,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1a,34440,,
8007246,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,923.8,,
8007242,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,21472,,
8006600,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g3,1300,,
8006600,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.G1,1500,,
8006539,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f1,3000,,
8006534,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f1,3000,,
8007663,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,585,,
8007207,Chile,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,16856,,
8007413,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,139288,,
8006750,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",4291980,,
8008211,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,14362.05,,
8008196,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,6300,,
8008191,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2b201.a1,185187,,
8008068,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6a,47727,,
8007454,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,21543.1,,
8007563,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B006.b2,477000,,
8007560,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B006.b2,238500,,
8008082,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B006.b2,50000,,
8007231,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",319194,,
8006466,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g3,9940,,
8006466,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,7200,,
8006616,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.b1,178000,,
8006453,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,28724.15,,
8008051,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,65000,,
8007604,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,2380.5,,
8007012,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",5508,,
8007005,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",228500,,
8006797,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i10,43141,,
8006798,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i10,100000,,
8007354,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2178.5,,
8007354,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,836.16,,
8006710,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.f,244000,,
8006498,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,7987,,
8007872,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",9720,,
8006543,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",594932,,
8008197,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.A.5,197000,,
8006549,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.b,915000,,
8006552,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",600000,,
8007976,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,230200,,
8007688,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A228.c,66800,,
8007689,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a.1
2B001.b.2",293436,,
8007213,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A233,75084,,
8007682,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005,314075,,
8007709,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",702919,,
8007707,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",500000,,
8007204,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,8000,,
8007718,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",950000,,
8007719,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g4,248374,,
8006507,"China, Volksrepublik",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,33111,,
8007723,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,612040,,
8006665,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,11754.05,,
8008111,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.d,214000,,
8004016,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2160,,
8004016,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,7250,,
8004016,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,19100,,
8004016,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3280,,
8008105,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",600000,,
8000632,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",315000,,
8007631,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",288913,,
8007624,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b",1835000,,
8008172,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.B.6.A,140500,,
8006786,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",1090000,,
8007391,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a.1
2B001.b.2",520262,,
8006753,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.B.6.A,140500,,
8008176,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,9A012.a,35000,,
8005993,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,9127.2,,
8006944,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c
2B201.b",2010000,,
8006942,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c
2B201.b",1200000,,
8008181,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,112000,,
8007098,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",702919,,
8008185,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,58129.4,,
8007101,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",702919,,
8007779,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",815000,,
8006889,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,23283.7,,
8007575,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,50340.4,,
8006891,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,215787,,
8007762,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,579246,,
8007777,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",500000,,
8006768,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B002.b2",1843000,,
8007126,"China, Volksrepublik",Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,25000,,
8007126,"China, Volksrepublik",Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,5000,,
8007229,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2b201.a1,502830,,
8006468,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B120
7B003",1791000,,
8006468,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B120
7B003",680000,,
8006462,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,143990,,
8006816,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,14029524,,
8008139,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,1750,,
8007471,"China, Volksrepublik",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.c2,450000,,
8007471,"China, Volksrepublik",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.c2,40000,,
8006761,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C231,1250,,
8007385,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a.1
2B001.b.2",588306,,
8007049,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,387500,,
8006429,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",1428919,,
8007367,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a.1
2B001.b.2",420300,,
8006807,"China, Volksrepublik",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML15.c,2941,,
8006813,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",498000,,
8006814,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",414686,,
8006447,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",542860,,
8007924,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a.1
2B001.b.2",308308,,
8007920,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a.1
2B001.b.2",256300,,
8007922,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a.1
2B001.b.2",221559,,
8007919,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.b1,371560,,
8007484,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",368000,,
8007422,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,7A103.a1,28600,,
8006903,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c
2B201.b",1888960,,
8006847,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,48106.8,,
8007030,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",4278580,,
8007439,"China, Volksrepublik",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,63055,,
8007019,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a.1,477600,,
8007436,"China, Volksrepublik",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML15.C,3871,,
8007002,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b",1100000,,
8007002,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b",1100000,,
8007006,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",426838,,
8008016,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A230,41200,,
8006697,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",475000,,
8007476,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.B1,1170000,,
8007066,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B006,149400,,
8006863,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,101666.1,,
8002159,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.A,171000,,
8008027,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,723006.53,,
8007643,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3B001.e,1100000,,
8007079,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c
2B201.b",184500,,
8006579,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,7A003.c1,261553.9,,
8006588,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",580000,,
8006570,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3B001.e,2817696.52,,
8007505,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.G2,312545,,
8006378,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,802,,
8006378,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,658,,
8006378,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,613,,
8006378,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,1576,,
8006378,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,687,,
8006378,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,3949,,
8006378,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,5529,,
8006376,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f1,17700,,
8006376,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5D001.a,32640,,
8006557,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,221332,,
8006374,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f1,44250,,
8008168,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A001.g2,72440,,
8008167,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c
2B201.b",700000,,
8006398,"China, Volksrepublik",Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,5000,,
8006398,"China, Volksrepublik",Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,50000,,
8006998,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b",1100000,,
8006998,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b",1100000,,
8007734,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",613916,,
8006572,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a5b,118000,,
8007530,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",1050000,,
8007541,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",790000,,
8007783,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5D001.a,0,,
8007783,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5D001.a,0,,
8007855,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B105,1985160,,
8006505,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",470476,,
8007243,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",620000,,
8006595,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",520000,,
8006597,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",836000,,
8006708,Dänemark,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B001.b",365590,,
8007972,Deutschland,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,5000,,
8007972,Deutschland,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,2000,,
8007690,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13,3960,,
8007690,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13,3960,,
8007690,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13,0,,
8007690,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13,0,,
8007690,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13,2970,,
8007690,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13,7920,,
8007085,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d,3960,,
8007085,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d,0,,
8007085,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d,1980,,
8007216,Deutschland,Nukleargüter,Einzelbewilligung,Ausfuhr,0B002.g,106281,,
8007708,Deutschland,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,5000,,
8007934,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13,1980,,
8007934,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13,0,,
8007395,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML06,90116,,
8007267,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d,1980,,
8006960,Deutschland,Nukleargüter,Einzelbewilligung,Ausfuhr,0B002.g,13950,,
8006746,Deutschland,Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b14b,18000,,
8006882,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d,10,,
8006882,Deutschland,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d,10,,
