Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8025747,Algerien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,850
8025485,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D001.a,15360
8025485,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D001.a,6800
8025588,Bahrain,Dual Use Güter,Einzelbewilligung,Ausfuhr,2A101,2323.2
8025895,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1040
8025829,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,45
8025829,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,15
8025491,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,15
8025491,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,45
8026035,Belarus,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,1062
8025351,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A001.g.2,62104
8025351,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A001.g.2,8912
8026046,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,271950
8024867,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",477306
8024864,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",352297
8026303,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,637
8025619,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.a",10460
8026095,Bermuda,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,5833.45
8025794,Bolivien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d,51500
8025560,Bolivien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,34626
8025561,Bolivien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,34626
8025562,Bolivien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,34626
8025348,Bosnien-Herzegowina,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML18.a,4626.7
8025942,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a1
2B201.c",240350.4
8026217,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001
1A001",29580
8025381,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.h6,105800
8026231,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,174.3
8026231,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,174.3
8025168,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,20925
8025168,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,50255
8025412,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,101.35
8025412,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,101.35
8026272,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,535
8025773,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1554
8025773,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,731
8025450,Chile,Dual Use Güter,Einzelbewilligung,Ausfuhr,2A101,2112
8025801,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,214398
8025373,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,139158
8025796,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,17909.1
8025897,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8122
8025591,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,5B001.a,264100
