Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8012439,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,239400
8013067,Argentinien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.h6,64845
8013061,Argentinien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d4,27200
8013060,Argentinien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,18865
8012135,Argentinien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,250
8012943,Armenien,"Dual Use Güter
Chemikalien CWÜ",Einzelbewilligung,Ausfuhr,"1C350.9
3B.14",342
8012943,Armenien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C350.15,110.5
8012943,Armenien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C350.49,48.6
8013838,Aserbaidschan,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,31361.4
8012687,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A1,3405.09
8012687,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,2566.14
8012484,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,21616
8012546,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,21562
8013951,Bahamas,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,2638.05
8012451,Bahrain,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML15.c,90000
8013459,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,20200
8013816,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4963
8013079,Belarus,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,940700
8013045,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"5A002.a1
5D002.c1",2880
8013045,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,222549
8013612,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,381
8013069,Belgien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d2,278.95
8013069,Belgien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d2,278.95
8012620,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,111.55
8012619,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,434.1
8012619,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,202.7
8012619,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,111.55
8012619,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,762.1
8012619,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,117.7
8012619,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,103.2
8012619,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,137.05
8013166,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D002.c.1,2162
8013166,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,8645
8013039,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,114
8013039,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,311
8013039,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,608
8013767,Bosnien-Herzegowina,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML03.a,3300
8012365,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,37500
8013926,Bosnien-Herzegowina,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,30000
8013561,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,1228.55
8013561,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,1228.55
8013279,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,32448
8013519,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,250
8013852,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.G2,1583
8012265,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,7866
8012341,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201,241670
8013674,Chile,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,1092.8
8013674,Chile,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,1248
8012844,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2158
8012844,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,879
8013616,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,993141
8013754,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,640
8013754,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1062
8013754,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2094
8013754,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,291
8013754,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1381
8012518,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,5625
8013636,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,7128.5
8013723,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i10,3058
8013723,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i10,23512
8013870,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML09.a1,21076862
8013870,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML04.a,1683092
8013431,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002,72720
8012334,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,2271.1
8012333,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,7984.9
8007535,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,9012
8013136,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",7660
8012892,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.c3,2200
8012892,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g1,1900
8012892,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,20000
8012079,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,443
8012079,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,874
8012079,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2158
8012076,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,3B001.e,1835080
8013494,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3710.7
8013104,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g1,2434.5
8013106,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,28513.9
8013334,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a
2B001.b",325466
8013322,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",2318872
8012783,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,119612
8012796,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,157646
8012796,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,304459
8012555,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,382.54
8012160,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,599170
8012552,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,570000
8012383,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A001.a10c,57520
8012380,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,69070
8012139,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2b201.a1,211983
8009186,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,134115.7
8012475,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",3706904
8013084,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a5b,40142
8013080,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",1162041
8010930,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"7D101
7A105",269487
8013077,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,135475.91
8013898,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,222050
8013780,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,243529
8012819,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,7A101,27000
8012297,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,344725
8012818,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,16000
8012817,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,110000
8012282,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,969950
8012440,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a3,1046000
8013547,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g4,276214
8013548,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g4,470269
8012729,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",671600
8012180,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C231,2300
8012503,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f1,16150
8012503,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f1,20060
8012492,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2b201.a1,201172
8013525,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,1B231.b2,4000
8013525,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C235,11000
8013529,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.A.5,212471
8013348,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",497191
8013353,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",498583
8013355,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a.1
2B001.b.2",536085
8012595,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.G2,195000
8012990,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3A230
3A230",41200
8012995,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.b6a2,115450
8013858,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,7A103.a1,539846
