Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8030693,Äquatorial-Guinea,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C353,1
8030952,Argentinien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,83402
8031206,Australien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML09.a,7896
8030616,Australien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3A001.a7a
3A001.a7b",80513.4
8031304,Bahamas,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,38000
8030623,Bangladesch,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2645.5
8031408,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C210.a
1C010.b1",929.6
8030637,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C210.a
1C010.b1",536.25
8031122,Belarus,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,1380
8030533,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",35473
8030617,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",23779
8031200,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",686926
8030458,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,20159.95
8031422,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,149.9
8030564,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1686
8030821,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,1092.36
8030377,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML14,58200
8030381,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d7,223
8031400,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,221.8
8030727,Chile,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,9345
8030727,Chile,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,4797
8030727,Chile,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,4815
8030661,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,60.3
8030661,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,606
8030661,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,244.8
8030808,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,49753
8030534,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",9551
8030764,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",12831
8030398,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.e4,100000
8030883,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",8933
8030604,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,454418
8030725,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,4025
8030810,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,49753
8030673,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,59674.65
8030971,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.b
2B001.c",27000
8031144,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",23489
8030659,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,15564.4
8030744,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",5253
8030759,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C008.a.3,50
8030756,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C008.a.3,50
8031018,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,114820
8030660,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,10378.2
8030395,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.e4,500000
8031202,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.b.6.c.2,300000
8031307,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,22212.76
8031307,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,2983.87
8031069,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g1,59056
8030464,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A003.b4a,80000
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,5471
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,189399
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,35826
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,58498
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,5640
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,5127
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,30620
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,99720
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,19302
8030503,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,732
8031130,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C008.a.3,50
8031172,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",439000
8031251,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,9A004.c,2090000
8030413,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",2202050
8031217,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a5b,55400
8031215,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",162056
8031215,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",161150
8031215,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a1
2B201.c",270503
8030592,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",1453785
8031054,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",330155
8030881,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2b201.a1,238134
8030467,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3B001.e,2123521
8031286,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,85000
8030797,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a1
2B201.c",191288.8
8030720,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,24187.8
8030720,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,2675.4
8030720,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,48157.2
8030720,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,2173.08
8030720,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,2675.4
8030720,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,2675.4
8030893,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.D5,180000
8030039,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,239537
8031205,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,52416
8031258,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,69740
8031258,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,23470
8031258,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,5666
8031258,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,6111
8031258,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,10637
8030685,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",294913
8031153,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",354468
8030726,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,7A003.c1,694303
8031131,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C008.a.3,50
8030798,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a1
2B201.c",169480
8030454,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C350.64,6972
8029888,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A003.b4,147730
8031350,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",640000
8028533,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",1061000
