Geschäftsnummer,Ausstellungsdatum,Bestimmungsland,Güterart,Geschäftsart,EKN,Wert [CHF]
8001404,06.01.2015,Indien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2b001.b
2b201.a",266766
8001334,06.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2b001.d,255995
8001385,06.01.2015,Indien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.a1
2B001.a2",619568
8001409,06.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,3860
8001410,06.01.2015,Österreich,National kontrollierte Güter,Ausfuhr,5.1,582.3
8001415,06.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,1585
8001415,06.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,2030
8001414,07.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b1,1160000
8001426,07.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b1,425000
8001403,07.01.2015,Niederlande,National kontrollierte Güter,Ausfuhr,5.1,142
8001403,07.01.2015,Niederlande,National kontrollierte Güter,Ausfuhr,5.1,156
8001411,07.01.2015,Thailand,Dual Use Güter,Ausfuhr,6A002.b4b,30000
8001411,07.01.2015,Thailand,Dual Use Güter,Ausfuhr,6A002.c1,10735
8001411,07.01.2015,Thailand,Dual Use Güter,Ausfuhr,6A002.c1,20220
8001411,07.01.2015,Thailand,Dual Use Güter,Ausfuhr,6A002.c1,4274
8001428,07.01.2015,Slowenien,Dual Use Güter,Ausfuhr,6A005.a6b2,303402.5
8001451,08.01.2015,Italien,Besondere militärische Güter,Ausfuhr,ML13,3290
8001451,08.01.2015,Italien,Besondere militärische Güter,Ausfuhr,ML13,11750
8001451,08.01.2015,Italien,Besondere militärische Güter,Ausfuhr,ML13,738.88
8001451,08.01.2015,Italien,Besondere militärische Güter,Ausfuhr,ML13,907.4
8001437,08.01.2015,Rumänien,Dual Use Güter,Ausfuhr,2B001.b,66000
8001431,08.01.2015,Frankreich,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a",367882
8001452,08.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.a
2B001.B",1575000
8001456,08.01.2015,Brasilien,Besondere militärische Güter,Ausfuhr,ML10,37083
8001460,08.01.2015,Libanon,Dual Use Güter,Ausfuhr,6A005.a6b2,837078
8001465,08.01.2015,Singapur,Dual Use Güter,Ausfuhr,6A005.a6.a,26095.5
8001466,08.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b,852000
8001467,08.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b,548000
8001468,08.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,2960
8001471,09.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B001.a,785355
8001471,09.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B001.a,180595
8001473,09.01.2015,Chile,National kontrollierte Güter,Ausfuhr,5.1,1298
8001436,09.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",1335300
8001469,09.01.2015,Schweiz,Besondere militärische Güter,Ausfuhr,ML22,1
8001386,09.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,7A105,7590
8001386,09.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,7A105,7590
8001374,09.01.2015,Argentinien,Dual Use Güter,Ausfuhr,2B352.b1,760621.9
8001374,09.01.2015,Argentinien,Dual Use Güter,Ausfuhr,2B352.b1,289378.1
8001405,09.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B120
7B003",392900
8001484,09.01.2015,Indien,Dual Use Güter,Ausfuhr,2D002,9042.1
8001274,09.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,5A002.a1,19900
8001457,09.01.2015,Israel,Dual Use Güter,Ausfuhr,2B001.a,1010000
8001487,09.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B352,8300000
8001489,09.01.2015,Indien,Dual Use Güter,Ausfuhr,2B352.b,86300
8001496,12.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A001.a5a3,48300
8001496,12.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A001.a5a1,28350
8001497,12.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A002.g2,47088
8001483,12.01.2015,Singapur,Dual Use Güter,Ausfuhr,2B350.b2,5800
8001483,12.01.2015,Singapur,Dual Use Güter,Ausfuhr,2B350.a3,11000
8001483,12.01.2015,Singapur,Dual Use Güter,Ausfuhr,2B350.g1,1650
8001505,12.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,6A005.a6b2,276000
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,100
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,150
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001501,13.01.2015,Singapur,Dual Use Güter,Ausfuhr,5A002.a1b,2412.58
8001508,13.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2D001
2D202",270147
8001172,13.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B201.a
2B001.b",2577264
8001513,13.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",276000
8001512,13.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.a2,617000
8001522,13.01.2015,Singapur,Dual Use Güter,Ausfuhr,1C231,4450
8001445,14.01.2015,Algerien,Besondere militärische Güter,Ausfuhr,ML14,85000
8001523,14.01.2015,Singapur,Dual Use Güter,Ausfuhr,1C231,5350
8001150,14.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B001.b2,373794
8001532,14.01.2015,Vereinigte Staaten von Amerika,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",1550951.3
8001536,14.01.2015,Slowakische Republik,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",756000
8001541,15.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.a1,395163
8001542,15.01.2015,Brasilien,Dual Use Güter,Ausfuhr,6A005.a6b2,310000
8001543,15.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B350.g2,867
8001539,15.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",756000
8001546,15.01.2015,Brasilien,Dual Use Güter,Ausfuhr,6A005.a6b2,310000
8001548,15.01.2015,Chile,National kontrollierte Güter,Ausfuhr,5.1,223
8001547,15.01.2015,Angola,National kontrollierte Güter,Ausfuhr,5.1,388
8001547,15.01.2015,Angola,National kontrollierte Güter,Ausfuhr,5.1,756
8001547,15.01.2015,Angola,National kontrollierte Güter,Ausfuhr,5.1,226
8001547,15.01.2015,Angola,National kontrollierte Güter,Ausfuhr,5.1,483
8001553,15.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A225,6700
8001556,15.01.2015,Singapur,Dual Use Güter,Ausfuhr,2B350.e2,27510
8001537,16.01.2015,Deutschland,Dual Use Güter,Ausfuhr,2B350.g2,2112
8001537,16.01.2015,Deutschland,Dual Use Güter,Ausfuhr,2B350.g2,360
8001558,16.01.2015,Malaysia,"Dual Use Güter
Dual Use Güter",Ausfuhr,"1C111.a2a3
1C011.a",108150.68
8001564,16.01.2015,Mexiko,National kontrollierte Güter,Ausfuhr,5.1,84
8001564,16.01.2015,Mexiko,National kontrollierte Güter,Ausfuhr,5.1,1383
8001564,16.01.2015,Mexiko,National kontrollierte Güter,Ausfuhr,5.1,69
8001564,16.01.2015,Mexiko,National kontrollierte Güter,Ausfuhr,5.1,650
8001464,16.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"7B003
2B120",930000
8001464,16.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"7B003
2B120",2270000
8001567,16.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b1,533000
8001557,16.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B350.e5,85514
8001568,16.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A225,2450
8001571,16.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B230,760
8001573,19.01.2015,Israel,Dual Use Güter,Ausfuhr,3A001.a10c,155862
8001528,19.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B005.e,1200000
8001580,19.01.2015,Oman,Dual Use Güter,Ausfuhr,6A002.c1,323810
8001570,19.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,7A105,9108
8001570,19.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,7A105,9108
8001593,20.01.2015,Deutschland,Dual Use Güter,Ausfuhr,2B350.g2,8610
8001590,20.01.2015,Malaysia,Dual Use Güter,Ausfuhr,5A002.a1a,104880
8001376,20.01.2015,Brasilien,Dual Use Güter,Ausfuhr,2B352.b,1000000
8001572,20.01.2015,Moldova,Dual Use Güter,Ausfuhr,3A225,4215
8001587,20.01.2015,Vereinigte Arabische Emirate,Dual Use Güter,Ausfuhr,6A002.c1,13300
8001587,20.01.2015,Vereinigte Arabische Emirate,Dual Use Güter,Ausfuhr,6a002.c1,5940
8001587,20.01.2015,Vereinigte Arabische Emirate,Dual Use Güter,Ausfuhr,6A002.c1,22600
8001587,20.01.2015,Vereinigte Arabische Emirate,Dual Use Güter,Ausfuhr,6a002.c1,6600
8001587,20.01.2015,Vereinigte Arabische Emirate,Dual Use Güter,Ausfuhr,6A003.b4b,60000
8001587,20.01.2015,Vereinigte Arabische Emirate,Dual Use Güter,Ausfuhr,6a002.c1,15620
8001587,20.01.2015,Vereinigte Arabische Emirate,Besondere militärische Güter,Ausfuhr,ML05.b,41360
8001587,20.01.2015,Vereinigte Arabische Emirate,Besondere militärische Güter,Ausfuhr,ML15.b,120000
8001604,20.01.2015,"China, Taiwan",Dual Use Güter,Ausfuhr,6A005.a6a,271200
8001595,20.01.2015,Iran,Sanktionsgüter,Ausfuhr,III.A2.010,18087.6
8001610,20.01.2015,Israel,Dual Use Güter,Ausfuhr,2B350.g2,50500
8001575,21.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B350.g1,500
8001575,21.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B350.d3,2475
8001612,21.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A001.a2c,67160
8001614,21.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,6A005.a5b,34500
8001620,21.01.2015,Südafrika,Besondere militärische Güter,Ausfuhr,ML18.a,20000
8001613,21.01.2015,Vereinigte Staaten von Amerika,Nukleargüter,Ausfuhr,0C003,330
8001619,21.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",614788.57
8001611,21.01.2015,Frankreich,Chemikalien CWÜ,Ausfuhr,3B.17,10.95
8001625,21.01.2015,Saudi-Arabien,Dual Use Güter,Ausfuhr,3A225,4828
8001622,21.01.2015,Vereinigte Arabische Emirate,"Besondere militärische Güter
Besondere militärische Güter",Ausfuhr,"ML13
ML22",8000000
8001629,21.01.2015,Grossbritannien,Dual Use Güter,Ausfuhr,2B201.b,694749
8001634,22.01.2015,Litauen,Dual Use Güter,Ausfuhr,1C231,2200
8001627,22.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.a1
2B001.a2",127701
8000321,22.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,6A002.c1,306420.4
8000321,22.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,6A002.c1,1018258.6
8000321,22.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,6A002.c1,466701.8
8000321,22.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,6A002.c1,801407.2
8001598,22.01.2015,Ungarn,Besondere militärische Güter,Ausfuhr,ML16,75000
8001601,22.01.2015,Italien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",256357.29
8001600,22.01.2015,Italien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",256357.29
8001626,22.01.2015,Slowenien,Nukleargüter,Ausfuhr,0C003,5000
8001626,22.01.2015,Slowenien,Nukleargüter,Ausfuhr,0C003,2000
8001560,22.01.2015,Iran,Chemikalien CWÜ,Ausfuhr,3B.16,2900
8001641,22.01.2015,Vereinigte Arabische Emirate,Dual Use Güter,Ausfuhr,6A003.b4b,60000
8001579,22.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.c1
2B201.b",1160000
8001578,22.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.c1
2B201.b",1160000
8001644,23.01.2015,Bulgarien,National kontrollierte Güter,Ausfuhr,5.1,230.56
8001645,23.01.2015,Iran,Sanktionsgüter,Ausfuhr,III.A1.003,349
8001647,23.01.2015,Vereinigte Arabische Emirate,Besondere militärische Güter,Ausfuhr,ML05.b,45000
8001616,23.01.2015,Algerien,Dual Use Güter,Ausfuhr,2B350.g2,9830
8001616,23.01.2015,Algerien,Dual Use Güter,Ausfuhr,2B350.d5,3460
8001658,26.01.2015,"China, Taiwan",Dual Use Güter,Ausfuhr,6A005.B.6.A,115630
8001651,26.01.2015,Vereinigte Arabische Emirate,Besondere militärische Güter,Ausfuhr,ML14,797
8001651,26.01.2015,Vereinigte Arabische Emirate,Besondere militärische Güter,Ausfuhr,ML14,93513
8001660,26.01.2015,Niederlande,Dual Use Güter,Ausfuhr,2B350.g2,2310
8001545,26.01.2015,Portugal,National kontrollierte Güter,Ausfuhr,5.1,101
8001545,26.01.2015,Portugal,National kontrollierte Güter,Ausfuhr,5.1,60
8001662,27.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B001.c,501810
8001650,27.01.2015,Israel,Nukleargüter,Ausfuhr,0C003,11107.06
8001652,27.01.2015,Tansania,Dual Use Güter,Ausfuhr,3A225,2173
8001652,27.01.2015,Tansania,Dual Use Güter,Ausfuhr,3A225,2138
8001675,27.01.2015,Oman,Dual Use Güter,Ausfuhr,6A002.c1,6330
8001654,27.01.2015,Brasilien,Besondere militärische Güter,Ausfuhr,ML10,9606.55
8001655,27.01.2015,Brasilien,Besondere militärische Güter,Ausfuhr,ML10,9606.55
8001515,28.01.2015,Saudi-Arabien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",40000
8001639,28.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B350.g2,6300
8001637,28.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",1403641
8001680,28.01.2015,Deutschland,Dual Use Güter,Ausfuhr,2B230,5400
8001673,28.01.2015,Deutschland,Dual Use Güter,Ausfuhr,2B352,7500
8001687,28.01.2015,Rumänien,Dual Use Güter,Ausfuhr,6A002.c2,10000
8001687,28.01.2015,Rumänien,Dual Use Güter,Ausfuhr,6a002.c1,8625
8001687,28.01.2015,Rumänien,Dual Use Güter,Ausfuhr,6a002.c1,4280
8001687,28.01.2015,Rumänien,Dual Use Güter,Ausfuhr,6A002.c1,22285
8001684,28.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.c1
2B201.b",1360000
8001685,28.01.2015,Tschechische Republik,Dual Use Güter,Ausfuhr,2B001.c,377390
8001682,28.01.2015,Mexiko,Dual Use Güter,Ausfuhr,3A225,5859.75
8001691,28.01.2015,Israel,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",433590
8001689,28.01.2015,Indien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2b001.b
2b201.a",314000
8001699,29.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A001.a2c,665560
8001700,29.01.2015,Vereinigte Arabische Emirate,Dual Use Güter,Ausfuhr,6A002.c1,4500
8001701,29.01.2015,Singapur,Dual Use Güter,Ausfuhr,2B201.b1,405750
8001703,29.01.2015,Indien,Dual Use Güter,Ausfuhr,2B350.G2,14525.8
8001643,29.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,5088
8001643,29.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,4976
8001643,29.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,4976
8001643,29.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,4976
8001643,29.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,5088
8001643,29.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,5088
8001643,29.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,5088
8001698,29.01.2015,Hongkong,Dual Use Güter,Ausfuhr,3A001.a5a2,171185
8001661,29.01.2015,Vietnam,"Besondere militärische Güter
Besondere militärische Güter",Ausfuhr,"ML13
ML22",5000000
8001664,29.01.2015,Singapur,"Besondere militärische Güter
Besondere militärische Güter",Ausfuhr,"ML13
ML22",5000000
8001696,29.01.2015,Belarus,National kontrollierte Güter,Ausfuhr,5.1,670
8001696,29.01.2015,Belarus,National kontrollierte Güter,Ausfuhr,5.1,300
8001694,29.01.2015,Belarus,National kontrollierte Güter,Ausfuhr,5.1,120
8001694,29.01.2015,Belarus,National kontrollierte Güter,Ausfuhr,5.1,242
8001694,29.01.2015,Belarus,National kontrollierte Güter,Ausfuhr,5.1,286
8001694,29.01.2015,Belarus,National kontrollierte Güter,Ausfuhr,5.1,1571
8001694,29.01.2015,Belarus,National kontrollierte Güter,Ausfuhr,5.1,242
8001706,29.01.2015,Thailand,Dual Use Güter,Ausfuhr,2B350.g1,1500
8001683,02.02.2015,Russische Föderation,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",1200000
8001692,02.02.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B001.a,98000
8001692,02.02.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B001.a,145392
8001707,03.02.2015,Ungarn,Dual Use Güter,Ausfuhr,2B001.b,12674.75
8001715,03.02.2015,Italien,Dual Use Güter,Ausfuhr,2B350.g2,69000
8001719,03.02.2015,Slowakische Republik,Dual Use Güter,Ausfuhr,3A228.c,40704
8001712,03.02.2015,Iran,Sanktionsgüter,Ausfuhr,III.A1.003,9928
8001711,03.02.2015,"China, Taiwan",Dual Use Güter,Ausfuhr,5A002.a1a,28689.6
8001716,03.02.2015,Italien,Dual Use Güter,Ausfuhr,2B350.g2,70000
8001713,03.02.2015,"China, Taiwan",Dual Use Güter,Ausfuhr,2B201.b1,460000
8001723,03.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A001.g2,16646
8001726,03.02.2015,"China, Taiwan",Dual Use Güter,Ausfuhr,6A005.a6b2,234400
8001728,03.02.2015,Italien,Dual Use Güter,Ausfuhr,2B350.g2,17000
8001632,03.02.2015,Macao,Dual Use Güter,Ausfuhr,6a002.c1,8800
8001734,03.02.2015,Iran,Sanktionsgüter,Ausfuhr,III.A1.003,2992
8001710,03.02.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B001.a,160162
8001739,03.02.2015,Südafrika,Dual Use Güter,Ausfuhr,2B350.c3,23800
8001739,03.02.2015,Südafrika,Dual Use Güter,Ausfuhr,2B350.g1a,3448
8001731,03.02.2015,Deutschland,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",273241
8001665,04.02.2015,Israel,Dual Use Güter,Ausfuhr,6A005.a6b2,798600
8001751,05.02.2015,Israel,Dual Use Güter,Ausfuhr,3A001.a10c,21999
8001753,05.02.2015,"China, Taiwan",Dual Use Güter,Ausfuhr,2D002,31864.85
8001754,05.02.2015,Thailand,Dual Use Güter,Ausfuhr,2B001.a,471000
8001736,05.02.2015,Vereinigte Staaten von Amerika,Nukleargüter,Ausfuhr,0C003,330
8001760,05.02.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",365954
8001763,05.02.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B001.a,121740
8001768,06.02.2015,Serbien,Dual Use Güter,Ausfuhr,6A002.c1,22015
8001768,06.02.2015,Serbien,Dual Use Güter,Ausfuhr,6A002.c1,5400
8001773,06.02.2015,Vereinigte Arabische Emirate,Dual Use Güter,Ausfuhr,6A003.b4b,30000
8001781,06.02.2015,Slowenien,National kontrollierte Güter,Ausfuhr,5.2,6478
8001786,09.02.2015,Hongkong,Dual Use Güter,Ausfuhr,3A001.a2c,110580
8001788,09.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,1C235,21000
8001788,09.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,1B231.b2,4000
8001749,09.02.2015,Vietnam,Besondere militärische Güter,Ausfuhr,ML11,31844120
8001255,09.02.2015,Frankreich,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",368204
8001784,09.02.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",234078
8001791,09.02.2015,"China, Taiwan","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.c
2B201.b",900000
8001794,09.02.2015,Iran,Sanktionsgüter,Ausfuhr,III.A1.003,900
8001793,09.02.2015,Belarus,Dual Use Güter,Ausfuhr,3A002.g2,115359.94
8001767,09.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.a1,286718
8001800,09.02.2015,Dänemark,Dual Use Güter,Ausfuhr,2B001.a,50000
8001799,09.02.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",242009
8001801,09.02.2015,Brasilien,Besondere militärische Güter,Ausfuhr,ML10.a,9606.55
8001803,09.02.2015,Brasilien,Besondere militärische Güter,Ausfuhr,ML10.a,9606.55
8001805,10.02.2015,Israel,Besondere militärische Güter,Ausfuhr,ML04,18025
8001809,10.02.2015,Brasilien,Besondere militärische Güter,Ausfuhr,ML10,9606.55
8001697,10.02.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B001,120000
8001810,10.02.2015,Belarus,National kontrollierte Güter,Ausfuhr,5.1,4760
8001811,10.02.2015,Myanmar (Union),National kontrollierte Güter,Ausfuhr,5.1,10950
8001811,10.02.2015,Myanmar (Union),National kontrollierte Güter,Ausfuhr,5.1,20040
8001815,10.02.2015,Brasilien,Dual Use Güter,Ausfuhr,5A002.a1a,21888
8001819,10.02.2015,Singapur,Dual Use Güter,Ausfuhr,3A225,10696
8001818,10.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,6A005.A6B2,271780
8001820,10.02.2015,Singapur,Dual Use Güter,Ausfuhr,2B350.d3,17100
8001821,10.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b1,829000
8001831,11.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,4A003,9296
8001817,11.02.2015,Ekuador,Dual Use Güter,Ausfuhr,6a002.c1,30980
8001828,11.02.2015,Chile,Dual Use Güter,Ausfuhr,6A002.c1,34370
8001832,11.02.2015,Slowenien,Dual Use Güter,Ausfuhr,6A002.c1,22015
8001832,11.02.2015,Slowenien,Dual Use Güter,Ausfuhr,6A002.c1,5400
8001833,11.02.2015,Slowenien,Dual Use Güter,Ausfuhr,2B001.a,159600
8001808,11.02.2015,Brasilien,Besondere militärische Güter,Ausfuhr,ML10.a,9606.55
8001837,11.02.2015,Indien,Dual Use Güter,Ausfuhr,2D002,8750.4
8001840,11.02.2015,Indien,Dual Use Güter,Ausfuhr,2D002,8750.4
8001844,11.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A225,240
8001806,11.02.2015,"Korea, Republik (Südkorea)",Dual Use Güter,Ausfuhr,2B350.g2,50818
8001807,11.02.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B350.i4,3750
8001807,11.02.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B350.g3,3500
8001807,11.02.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B350.g3,1500
8001449,12.02.2015,Ägypten,Besondere militärische Güter,Ausfuhr,ML13.d,30000
8001850,12.02.2015,Jordanien,Dual Use Güter,Ausfuhr,2B350.g1,1800
8001830,13.02.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B350.g3,2674
8001836,13.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2D002,7936.8
8001867,13.02.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.c
2B201.b",715000
8001865,13.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b1,575000
8001872,13.02.2015,Ungarn,Dual Use Güter,Ausfuhr,2B201.b,166448
8001872,13.02.2015,Ungarn,Dual Use Güter,Ausfuhr,2B201.b,325639
8001873,13.02.2015,Ungarn,Dual Use Güter,Ausfuhr,2B201.b,174528
8001876,13.02.2015,Brasilien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",216950
8001877,13.02.2015,Brasilien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",216950
8001879,13.02.2015,Brasilien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",216950
8001883,13.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B001.e,655230
8001882,13.02.2015,"China, Taiwan",Dual Use Güter,Ausfuhr,2D002,16002.95
8001885,13.02.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2D002,7749.7
8001886,13.02.2015,Brasilien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",216950
8001884,13.02.2015,Slowakische Republik,Dual Use Güter,Ausfuhr,2B201.b1,514919
8001888,16.02.2015,Hongkong,Dual Use Güter,Ausfuhr,3A001.a2c,62370
8001862,16.02.2015,Israel,Besondere militärische Güter,Ausfuhr,ML10.c.2,3740
8001862,16.02.2015,Israel,Besondere militärische Güter,Ausfuhr,ML10.c.2,5000
8001890,16.02.2015,Serbien,Dual Use Güter,Ausfuhr,3A225,10608
8001845,16.02.2015,Deutschland,Nukleargüter,Ausfuhr,0A001.f,65
8001802,16.02.2015,Indien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",291045
8001887,16.02.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,1260
8001887,16.02.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,1290
8001887,16.02.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,1110
8001894,16.02.2015,Mexiko,Dual Use Güter,Ausfuhr,3A225,5183.55
