0,"KATEGORIE 0 — KERNTECHNISCHE MATERIALIEN, ANLAGEN UND AUSRÜSTUNG",,,,,,,
0A,"Systeme, Ausrüstung und Bestandteile",,,,,,,
0A001,„Kernreaktoren“ und besonders konstruierte oder hergerichtete Ausrüstung und Bestandteile hierfür wie,,,,,,,
,folgt:,,,,,,,
,,,,,,,,
0A001,a) „Kernreaktoren“,,,,,,,
,,,,,,,,
0A001,"b) Metallbehälter oder wichtige vorgefertigte Teile hierfür, einschliesslich des Reaktorbehälter-Deckels des",,,,,,,
,"Reaktordruckbehälters, besonders konstruiert oder hergerichtet zur Aufnahme des Kerns eines „Kernre-",,,,,,,
,aktors“,,,,,,,
,,,,,,,,
0A001,"c) Bedienungseinrichtungen, besonders konstruiert oder hergerichtet zum Be- und Entladen von Kernbrenn-",,,,,,,
,stoff in einem „Kernreaktor“,,,,,,,
,,,,,,,,
0A001,"d) Steuerstäbe, Trage- oder Aufhängevorrichtungen hierfür, Steuerstabantriebe und Stabführungsrohre be-",,,,,,,
,sonders konstruiert oder hergerichtet für die Steuerung der Spaltprozesse in einem „Kernreaktor“,,,,,,,
,,,,,,,,
0A001,"e) Druckrohre, besonders konstruiert oder hergerichtet für die Aufnahme der Brennelemente und des",,,,,,,
,Primärkühlmittels in einem „Kernreaktor“,,,,,,,
,,,,,,,,
0A001,"f) Rohre (oder Rohrsysteme) aus Zirkoniummetall oder -legierungen, besonders konstruiert oder herge-",,,,,,,
,"richtet zur Verwendung als Hüllrohre in einem „Kernreaktor“, in Mengen von mehr als 10 kg;",,,,,,,
,,,,,,,,
,"Anmerkung: Zu Zirkoniumdruckrohren siehe 0A001e, zu Druckröhren siehe 0A001h.",,,,,,,
,,,,,,,,
0A001,"g) Pumpen oder Kompressoren, besonders konstruiert oder hergerichtet für den Kreislauf des Primärkühl-",,,,,,,
,mittels von „Kernreaktoren“,,,,,,,
,,,,,,,,
0A001,"h) ‚innere Einbauten eines Kernreaktors‘, besonders konstruiert oder hergerichtet für die Verwendung in",,,,,,,
,"einem „Kernreaktor“, einschliesslich Trägerkonstruktionen für den Reaktorkern, Brennelementkanäle,",,,,,,,
,"Druckröhren, thermische Abschirmungen, Leitbleche, Kerngitter- und Strömungsplatten;",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0.A.0.01.h.Technische Anmerkung.,‚Innere Einbauten eines Kernreaktors‘ (nuclear reactor internals) im Sinne von Unternummer 0A001h sind Haupt-,,,,,,,
,"strukturen innerhalb des Reaktorbehälters mit einer oder mehreren Aufgaben wie z. B. Stützfunktion für den Kern,",,,,,,,
,"Aufrechterhaltung der Brennstoff-Anordnung, Führung des Primärkühlmittelflusses, Bereitstellung von Strahlungs-",,,,,,,
,abschirmungen für den Reaktorbehälter und Steuerung der Innenkern-Instrumentierung.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0A001,i) Wärmetauscher wie folgt:,,,,,,,
,,,,,,,,
0A001i,"1. Dampferzeuger, besonders konstruiert oder hergerichtet für die Verwendung im Primär- oder Zwi-",,,,,,,
,schenkühlkreislauf eines „Kernreaktors“,,,,,,,
,,,,,,,,
0A001i,"2. andere Wärmetauscher, besonders konstruiert oder hergerichtet für die Verwendung im Primär- oder",,,,,,,
,Zwischenkühlkreislauf eines „Kernreaktors“,,,,,,,
,,,,,,,,
