Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8037359,Ägypten,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.a",2500
8037359,Ägypten,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.c",4500
8037342,Ägypten,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C111.a2a
1C111.a",73548.2
8037008,Ägypten,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17,2650
8037008,Ägypten,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,455
8037008,Ägypten,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,3660
8037008,Ägypten,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML17.h,2650
8037174,Argentinien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,32451.43
8037134,Bahrain,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a5b,82155
8037369,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C233,4650
8037296,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g1,60000
8037223,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",1348513
8037223,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",1348513
8036957,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,771
8037799,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.c,422210
8037549,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A,1260
8037549,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A,310
8036554,Bosnien-Herzegowina,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML07.D,340
8037468,Bosnien-Herzegowina,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,30000
8037354,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,9350
8037354,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,9350
8037262,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,9D004.e,2091.44
8028937,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,158912
8034706,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0E001,334030
