Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8019302,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D002.c1,74690
8019302,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A1,157969.35
8017928,Albanien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",5000
8017567,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,45616.3
8017567,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A1,10843.06
8017567,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D002.c1,4044.85
8019244,Angola,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,86186.9
8019244,Angola,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,7479.2
8019244,Angola,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,42187.2
8019244,Angola,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,5666.85
8019244,Angola,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D002.c1a,4207.5
8019244,Angola,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1b,14795.65
8019056,Argentinien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML18.a,2897.3
8019589,Armenien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1200
8019589,Armenien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,600
8019304,Äthiopien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,31244
8019304,Äthiopien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,5026
8019304,Äthiopien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,80663
8016241,Australien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,650
8016241,Australien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1
8018121,Australien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML15.d,77660
8018351,Australien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML15,39380
8018432,Australien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML15.d,2963.4
8018432,Australien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML15.d,1326.6
8018015,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,60592
8019495,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,92000
8017936,Belgien,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,2B.4,4.4
8018874,Bolivien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML06.a,11750
8018346,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.A,2000
8019054,Bosnien-Herzegowina,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,30000
8018587,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a5b,200000
8019605,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2882
8019604,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2882
8018139,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,9606.55
8018142,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,9606.55
8018141,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,9606.55
8018144,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,9606.55
8018145,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,9606.55
8019562,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,1126.08
8018137,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.d,9606.55
8019256,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,327.9
8019258,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,327.9
8019259,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,327.9
8019259,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,327.9
8019259,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,327.9
8019260,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,163.95
8019260,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,163.95
8019260,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,163.95
8018113,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,478
8019071,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.b,390441
8018796,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.G2,7156
8018962,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8018965,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8017958,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,368
8017958,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,826
8018048,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0A001.a,19824000
8019644,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,4493.79
8018387,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.h6,51800
8019433,Bulgarien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",14794
8019387,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,1000
8015532,Chile,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,58008.18
8018559,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,39136.7
8019150,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",172205
8018282,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.C,3320
8019126,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",401230
8018885,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,77672.55
8018106,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3100
8019420,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",375474
8019500,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,33723
8018859,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,7682.15
8018942,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",10000
8018942,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",50000
8017887,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",275483
8019338,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3055.53
8019338,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3006.59
8019338,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,5637.61
8018490,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,6772.05
